metric_key,display_name,stage,unit,availability,source_scope,aggregation,formula,numerator_key,denominator_key,platform_comparability,decision_role,zero_denominator_policy,notes
spend,Spend,delivery,currency,active,paid,sum,source_value,,,same_currency_only,context,null,Keep original currency and use dated FX reference for converted reports.
impressions,Impressions,delivery,count,active,paid_or_organic,sum,source_value,,,native_definition,context,null,
reach,Reach,delivery,count,active,paid_or_organic,platform_reported,source_value,,,native_definition,context,null,Do not sum reach across ads or days without a deduplication method.
cpm,CPM,delivery,currency_per_thousand,active,paid,derived,1000 * spend / impressions,spend,impressions,same_currency_only,diagnostic,null,
frequency,Frequency,delivery,ratio,active,paid_or_organic,derived,impressions / reach,impressions,reach,native_definition,diagnostic,null,
video_start_rate,Video start rate,creative,rate,active,paid_or_organic,derived,video_starts / impressions,video_starts,impressions,same_platform_definition_only,diagnostic,null,
video_view_2s_rate,Two-second view rate,creative,rate,active,paid_or_organic,derived,video_views_2s / impressions,video_views_2s,impressions,same_platform_definition_only,diagnostic,null,Not interchangeable with a three-second view rate.
video_view_3s_rate,Three-second view rate,creative,rate,active,paid_or_organic,derived,video_views_3s / impressions,video_views_3s,impressions,same_platform_definition_only,diagnostic,null,Not interchangeable with a two-second view rate.
completion_rate,Completion rate,creative,rate,active,paid_or_organic,derived,video_plays_100pct / video_starts,video_plays_100pct,video_starts,same_platform_definition_only,diagnostic,null,Conditional on a video start.
completion_per_impression,Completion per impression,creative,rate,active,paid_or_organic,derived,video_plays_100pct / impressions,video_plays_100pct,impressions,same_platform_definition_only,diagnostic,null,
avg_watch_seconds,Average watch seconds,creative,seconds,active,paid_or_organic,derived,total_watch_time_seconds / video_starts,total_watch_time_seconds,video_starts,same_platform_definition_only,diagnostic,null,Prefer the platform source value when its denominator differs and record that definition.
normalized_watch_ratio,Normalized watch ratio,creative,ratio,active,paid_or_organic,derived,avg_watch_seconds / creative_duration_seconds,avg_watch_seconds,creative_duration_seconds,same_platform_definition_only,diagnostic,null,May exceed one because videos can loop.
engagement_rate,Engagement rate,creative,rate,active,paid_or_organic,derived,(likes + comments + shares + saves) / impressions,engagements,impressions,same_platform_definition_only,secondary,null,
quality_engagement_rate,Quality engagement rate,creative,rate,active,paid_or_organic,derived,(shares + saves) / impressions,quality_engagements,impressions,same_platform_definition_only,secondary,null,
shares_per_1000,Shares per 1000 impressions,creative,count_per_thousand,active,paid_or_organic,derived,1000 * shares / impressions,shares,impressions,same_platform_definition_only,secondary,null,
save_rate,Save rate,creative,rate,active,paid_or_organic,derived,saves / impressions,saves,impressions,same_platform_definition_only,secondary,null,Use only when the platform exposes saves for the selected delivery type; otherwise null.
comment_rate,Comment rate,creative,rate,active,paid_or_organic,derived,comments / impressions,comments,impressions,same_platform_definition_only,secondary,null,This counts all reported comments and must not be labelled qualified-comment rate without a separate privacy-safe coding process.
outbound_ctr,Outbound CTR,acquisition,rate,active,paid,derived,outbound_clicks / impressions,outbound_clicks,impressions,same_platform_definition_only,diagnostic,null,
landing_rate,Landing-page arrival rate,acquisition,rate,active,paid,derived,landing_page_views / outbound_clicks,landing_page_views,outbound_clicks,same_platform_definition_only,diagnostic,null,
click_to_install_rate,Click-to-install rate,acquisition,rate,blocked_until_attribution,paid,derived,click_attributed_installs / outbound_clicks,click_attributed_installs,outbound_clicks,attribution_window_specific,secondary,null,UTMs alone do not establish app-install attribution.
installs_per_1000,Installs per 1000 impressions,acquisition,count_per_thousand,blocked_until_attribution,paid,derived,1000 * attributed_installs / impressions,attributed_installs,impressions,attribution_window_specific,secondary,null,
cpi,Cost per attributed install,acquisition,currency,blocked_until_attribution,paid,derived,spend / attributed_installs,spend,attributed_installs,attribution_window_specific,secondary,null,
d1_activation_rate,D1 activation rate,activation,rate,blocked_until_funnel_complete,app,derived,activated_d1 / eligible_d1_installs,activated_d1,eligible_d1_installs,canonical,primary,null,Requires app_first_open and personalized-value instrumentation.
cost_per_activated_install,Cost per activated install,activation,currency,blocked_until_attribution,paid_plus_app,derived,spend / activated_installs,spend,activated_installs,attribution_window_specific,primary,null,Launch business KPI once attribution and activation are valid.
profile_save_to_first_answer_rate,Profile save to first answer rate,activation,rate,blocked_until_funnel_complete,app,derived,unique installs with chat_answer_completed within 24h after birth_profile_saved / unique installs with birth_profile_saved,first_answer_after_profile_installs,birth_profile_saved_installs,canonical,secondary,null,Current component events exist with cross-platform aliases but the ordered canonical funnel export is not implemented; creative-level use also requires attribution.
kundali_detail_open_rate,Kundali detail open rate,feature,rate,blocked_until_funnel_complete,app,derived,unique eligible installs with kundali_detail_opened / eligible installs,kundali_detail_open_installs,eligible_installs,canonical,secondary,null,No dedicated kundali_detail_opened event exists; family_member_opened is not precise enough for this metric and creative-level use requires attribution.
dasha_report_start_rate,Dasha report start rate,feature,rate,blocked_until_attribution,paid_plus_app,derived,unique attributed installs with feature_chat_started where feature=lifePhase / eligible attributed installs,dasha_report_start_installs,eligible_attributed_installs,attribution_window_specific,secondary,null,The feature start event exists but creative-level reporting is unavailable until acquisition attribution is implemented and event names are canonicalized.
muhurat_report_start_rate,Muhurat report start rate,feature,rate,blocked_until_attribution,paid_plus_app,derived,unique attributed installs with feature_chat_started where feature=muhurta / eligible attributed installs,muhurat_report_start_installs,eligible_attributed_installs,attribution_window_specific,secondary,null,The feature start event exists but creative-level reporting is unavailable until acquisition attribution is implemented and event names are canonicalized.
matching_report_start_rate,Kundli matching report start rate,feature,rate,blocked_until_attribution,paid_plus_app,derived,unique attributed installs with feature_chat_started where feature=kundliMatching / eligible attributed installs,matching_report_start_installs,eligible_attributed_installs,attribution_window_specific,secondary,null,The feature start event exists but creative-level reporting is unavailable until acquisition attribution is implemented and event names are canonicalized.
voice_input_start_rate,Voice input start rate,feature,rate,blocked_until_funnel_complete,paid_plus_app,derived,unique attributed installs with voice_input_started / eligible attributed installs,voice_input_start_installs,eligible_attributed_installs,attribution_window_specific,secondary,null,No canonical voice_input_started analytics event or install attribution exists today.
qr_open_to_import_rate,QR open-to-import rate,feature,rate,blocked_until_funnel_complete,app,derived,unique sessions with parivar_qr_imported after a receive or scan open / unique sessions with a receive or scan open,qr_import_sessions,qr_receive_open_sessions,canonical,secondary,null,iOS and Android QR event names and boundaries differ; canonical same-session funnel derivation is not implemented.
family_profile_to_answer_rate,Family profile-to-answer rate,feature,rate,blocked_until_funnel_complete,app,derived,unique sessions with chat_answer_completed in the same selected-family context after relationship_person_selected / unique sessions with relationship_person_selected,family_context_answer_sessions,family_person_selected_sessions,canonical,secondary,null,Completed-answer events do not consistently preserve selected family and feature context across both clients.
panchang_report_start_rate,Panchang report start rate,feature,rate,blocked_until_attribution,paid_plus_app,derived,unique attributed installs with feature_chat_started where feature=panchang / eligible attributed installs,panchang_report_start_installs,eligible_attributed_installs,attribution_window_specific,secondary,null,The feature start event exists but creative-level reporting is unavailable until acquisition attribution is implemented and event names are canonicalized.
birth_profile_saved_rate,Birth profile saved rate,activation,rate,blocked_until_funnel_complete,paid_plus_app,derived,unique attributed installs with birth_profile_saved within 24h / eligible attributed installs,birth_profile_saved_installs,eligible_attributed_installs,attribution_window_specific,secondary,null,app_first_open and install attribution are missing and profile-save event names differ across clients.
d1_retention,D1 guided retention,retention,rate,blocked_until_funnel_complete,app,derived,d1_retained / eligible_d1_activated,d1_retained,eligible_d1_activated,canonical,guardrail,null,Uses the elapsed 24 through 48 hour window.
d7_retention,D7 guided retention,retention,rate,blocked_until_funnel_complete,app,derived,d7_retained / eligible_d7_activated,d7_retained,eligible_d7_activated,canonical,guardrail,null,Uses only mature cohorts.
d30_retention,D30 guided retention,retention,rate,blocked_until_funnel_complete,app,derived,d30_retained / eligible_d30_activated,d30_retained,eligible_d30_activated,canonical,guardrail,null,Uses only mature cohorts.
weekly_guided_households,Weekly guided households,north_star,count,blocked_until_funnel_complete,app,distinct_count,distinct households with completed personalized value,,,canonical,north_star,null,Export only the aggregate count.
cac,Customer acquisition cost,monetization,currency,future,paid_plus_app,derived,spend / first_payers,spend,first_payers,attribution_window_specific,future,null,No payment product exists in the current app.
roas,Return on ad spend,monetization,ratio,future,paid_plus_app,derived,attributed_net_revenue / spend,attributed_net_revenue,spend,attribution_window_specific,future,null,No payment product exists in the current app.
